,Company,Date Joined,Industry,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November)
517,Rokt,2021-12-16,Internet software & services,New York,North America,2012,$487M,2.0,"Square Peg Capital, TDM Growth Partners, Tiger Global Management",1.95,"Square Peg Capital, TDM Growth Partners, Tiger Global Management"
518,Starling Bank,2021-03-08,Fintech,London,Europe,2014,$791M,2.0,"JTC Group, Qatar Investment Authority, Fidelity Investment",3.34,"JTC Group, Qatar Investment Authority, Fidelity Investment"
519,Ankorstore,2022-01-10,E-commerce & direct-to-consumer,Paris,Europe,2019,$422M,3.397312859884837,"Global Founders Capital, Aglae Ventures, Alven Capital",1.98,"Global Founders Capital, Aglae Ventures, Alven Capital"
520,4Paradigm,2018-12-19,Artificial intelligence,Beijing,Asia,2015,$1B,2.0,"Sequoia Capital China, China Construction Bank, Bank of China",3.1652201257861634,"Sequoia Capital China, China Construction Bank, Bank of China"
521,Advance Intelligence Group,2021-09-23,Artificial intelligence,,Asia,2016,$536M,3.397312859884837,"Vision Plus Capital, GSR Ventures, ZhenFund",2.0,"Vision Plus Capital, GSR Ventures, ZhenFund"
522,Aiven,2021-10-18,Internet software & services,Helsinki,Europe,2016,$210M,3.397312859884837,"Institutional Venture Partners, Atomico, Earlybird Venture Capital",3.21,"Institutional Venture Partners, Atomico, Earlybird Venture Capital"
523,Akulaku,2022-02-15,E-commerce & direct-to-consumer,Jakarta,Asia,2014,$438M,3.397312859884837,"DCM Ventures, IDG Capital, Siam Commercial Bank",2.0,"DCM Ventures, IDG Capital, Siam Commercial Bank"
524,Apeel Sciences,2020-05-26,Other,Goleta,North America,2012,$640M,3.397312859884837,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz",2.0,"Upfront Ventures, Tao Capital Partners, Andreessen Horowitz"
525,AppsFlyer,2020-01-21,Mobile & telecommunications,San Francisco,North America,2011,$293M,2.0,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital",3.1652201257861634,"Magma Venture Partners, Pitango Venture Capital, Qumra Capital"
526,Avant,2012-12-17,Artificial intelligence,Chicago,North America,2012,$658M,3.397312859884837,"RRE Ventures, Tiger Global, August Capital",2.0,"RRE Ventures, Tiger Global, August Capital"
527,Aviatrix,2021-09-08,Internet software & services,Santa Clara,North America,2014,$341M,3.397312859884837,"Ignition Partners, Formation 8, CRV",2.0,"Ignition Partners, Formation 8, CRV"
528,BlaBlaCar,2015-09-16,Auto & transportation,Paris,Europe,2006,$449M,3.397312859884837,"Accel Partners, Index Ventures, Insight Venture Partners",2.0,"Accel Partners, Index Ventures, Insight Venture Partners"
529,Black Sesame Technologies,2021-09-22,Artificial intelligence,Shanghai,Asia,2016,$115M,3.397312859884837,"Northern Light Venture Capital, Xiaomi, FutureX Capital",2.0,"Northern Light Venture Capital, Xiaomi, FutureX Capital"
530,Bunq,2021-06-18,Fintech,Amsterdam,Europe,2013,$281M,3.397312859884837,Undisclosed,2.0,Undisclosed
531,Calm,2019-02-06,Consumer & retail,San Francisco,North America,2012,$218M,3.397312859884837,"Insight Venture Partners, TPG Growth, Sound Ventures",2.0,"Insight Venture Partners, TPG Growth, Sound Ventures"
532,Chipper Cash,2021-05-31,Fintech,San Francisco,North America,2017,$302M,2.0,"Deciens Capital, Bezos Expeditions, 500 Startups",3.1652201257861634,"Deciens Capital, Bezos Expeditions, 500 Startups"
533,Clearco,2021-04-20,Fintech,Toronto,North America,2015,$433M,2.0,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners",2.0,"Highland Capital Partners, Oak HC/FT Partners, Emergence Capital Partners"
534,ClickHouse,2021-10-28,Data management & analytics,Portola Valley,North America,2021,$300M,3.397312859884837,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital",2.0,"Lightspeed Venture Partners, Almaz Capital Partners, Altimeter Capital"
535,Clip,2021-06-10,Fintech,Mexico City,North America,2012,$381M,3.397312859884837,"Alta Ventures Mexico, General Atlantic, SoftBank Group",2.0,"Alta Ventures Mexico, General Atlantic, SoftBank Group"
536,Cloudinary,2022-02-15,Internet software & services,Santa Clara,North America,2011,$100M,2.0,"Blackstone, Bessemer Venture Partners",3.1652201257861634,"Blackstone, Bessemer Venture Partners"
537,Divvy Homes,2021-08-13,Fintech,San Francisco,North America,2017,$370M,3.397312859884837,"Andreessen Horowitz, Caffeinated Capital, SciFi VC",2.0,"Andreessen Horowitz, Caffeinated Capital, SciFi VC"
538,Dremio,2021-01-06,Data management & analytics,Santa Clara,North America,2015,$410M,2.0,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners",2.0,"Lightspeed Venture Partners, Redpoint Ventures, Norwest Venture Partners"
539,Druva,2019-06-20,Data management & analytics,Sunnyvale,North America,2007,$475M,3.397312859884837,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital",2.0,"Nexus Venture Partners, Tenaya Capital, Sequoia Capital"
540,Everlaw,2020-03-10,Internet software & services,Oakland,North America,2010,$299M,3.397312859884837,"K9 Ventures, Menlo Ventures, Andreessen Horowitz",2.0,"K9 Ventures, Menlo Ventures, Andreessen Horowitz"
541,Exotec,2022-01-17,Hardware,Croix,Europe,2015,$450M,2.0,"Breega Capital, Iris Capital, 360 Capital Partners",2.0,"Breega Capital, Iris Capital, 360 Capital Partners"
542,Formlabs,2018-08-01,Hardware,Somerville,North America,2011,$251M,2.0,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group",2.0,"Pitango Venture Capital, DFJ Growth Fund, Foundry Group"
543,Guoquan Shihui,2021-03-17,Consumer & retail,Shanghai,Asia,2017,$523M,2.0,"Tiantu Capital, CMB International Capital, Vision Knight Capital",2.0,"Tiantu Capital, CMB International Capital, Vision Knight Capital"
544,Hive,2021-04-21,Artificial intelligence,San Francisco,North America,2013,$121M,2.0,"Tomales Bay Capital, Bain & Company, General Catalyst",2.0,"Tomales Bay Capital, Bain & Company, General Catalyst"
545,HuiMin,2016-09-05,E-commerce & direct-to-consumer,Beijing,Asia,2013,$517M,2.0,"Zheshang Venture Capital, GP Capital, Western Capital Management",2.0,"Zheshang Venture Capital, GP Capital, Western Capital Management"
546,ISN,2020-12-17,"Supply chain, logistics, & delivery",Dallas,North America,2001,Unknown,2.0,Blackstone,3.1652201257861634,Blackstone
547,Iterable,2021-06-15,Internet software & services,San Francisco,North America,2013,$342M,3.397312859884837,"CRV, Blue Cloud Ventures, Index Ventures",2.0,"CRV, Blue Cloud Ventures, Index Ventures"
548,Kajabi,2021-05-04,Internet software & services,Irvine,North America,2010,$550M,3.397312859884837,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity",2.0,"Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
549,Kaseya,2019-03-27,Cybersecurity,Miami,North America,2000,$545M,2.0,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund",2.0,"Insight Partners, TPG Alternative & Renewable Technologies, Ireland Strategic Investment Fund"
550,Keep,2020-05-19,Mobile & telecommunications,Beijing,Asia,2014,$614M,2.0,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",2.0,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital"
551,KRY,2021-04-27,Health,Stockholm,Europe,2014,$569M,3.397312859884837,"Index Ventures, Creandum, Accel",2.0,"Index Ventures, Creandum, Accel"
552,Loggi,2019-06-05,"Supply chain, logistics, & delivery",Sao Paulo,South America,2013,$507M,2.0,"Qualcomm Ventures, SoftBank Group, Monashees+",2.0,"Qualcomm Ventures, SoftBank Group. Monashees+"
553,LTK,2021-11-22,Internet software & services,Dallas,North America,2011,$315M,2.0,"SoftBank Group, Maverick Capital",2.0,"SoftBank Group, Maverick Capital"
554,Lunar,2021-07-12,Fintech,Aarhus,Europe,2015,$448M,2.0,"SEED Capital, Greyhound Capital, Socii Capital",3.1652201257861634,"SEED Capital, Greyhound Capital, Socii Capital"
555,Mafengwo,2019-05-23,Travel,Beijing,Asia,2010,$503M,2.0,"Qiming Venture Partners, Capital Today, General Atlantic",3.1652201257861634,"Qiming Venture Partners, Capital Today, General Atlantic"
556,Magic Leap,2014-10-21,Hardware,Plantation,North America,2010,$3B,3.397312859884837,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",2.0,"Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz"
557,Misfits Market,2021-04-21,E-commerce & direct-to-consumer,Pennsauken,North America,2018,$527M,3.397312859884837,"Accel, D1 Capita Partners, Greenoaks Capital Management",2.0,"Accel, D1 Capita Partners, Greenoaks Capital Management"
558,Modern Treasury,2021-10-06,Fintech,San Francisco,North America,2018,$183M,3.397312859884837,"Benchmark, Altimeter Capital, Quiet Capital",2.0,"Benchmark, Altimeter Capital, Quiet Capital"
559,MURAL,2021-07-20,Internet software & services,San Francisco,North America,2011,$192M,3.397312859884837,"Insight Partners, Tiger Global Management, Gradient Ventures",2.0,"Insight Partners, Tiger Global Management, Gradient Ventures"
560,Mynt,2021-11-01,Fintech,Taguig City,Asia,2015,$475M,3.397312859884837,"Insight Partners, Warburg Pincus, Ayala Corporation",2.0,"Insight Partners, Warburg Pincus, Ayala Corporation"
561,Neo4j,2021-06-17,Data management & analytics,San Mateo,North America,2007,$408M,2.0,"Eight Roads Ventures, One Peak Partners, Creandum",2.0,"Eight Roads Ventures, One Peak Partners, Creandum"
562,Netlify,2021-11-17,Internet software & services,San Francisco,North America,2014,$202M,3.397312859884837,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures",2.0,"Andreessen Horowitz, Kleiner Perkins Caufield & Byers, EQT Ventures"
563,OCSiAl,2019-03-04,Other,Leudelange,Europe,2012,$285M,2.0,"A&NN, Rusnano",3.1652201257861634,"A&NN, Rusnano"
564,Opay,2021-08-23,Fintech,Lagos,Africa,2018,$570M,3.397312859884837,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China",2.0,"Sequoia Capital China, Source Code Capital, Redpoint Ventures China"
565,Pipe,2021-05-19,Fintech,Miami,North America,2019,$566M,2.0,"next47, MaC Venture Capital, FinVC",3.1652201257861634,"next47, MaC Venture Capital, FinVC"
566,Preferred Networks,2018-05-17,Artificial intelligence,Tokyo,Asia,2014,$147M,3.397312859884837,"Toyota Motor Corporation, Mizuho Financial Group, FANUC",2.0,"Toyota Motor Corporation, Mizuho Financial Group, FANUC"
567,Quora,2017-04-21,Internet software & services,Mountain View,North America,2009,$226M,2.0,"Y Combinator, Matrix Partners, Benchmark",2.0,"Y Combinator, Matrix Partners, Benchmark"
568,Redis Labs,2020-08-25,Data management & analytics,Mountain View,North America,2011,$356M,2.0,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures",3.1652201257861634,"Viola Ventures, Dell Technologies Capital, Bain Capital Ventures"
569,SmartNews,2019-08-05,Mobile & telecommunications,Tokyo,Asia,2012,$410M,2.0,"Japan Post Capital, Globis Capital Partners, Atomico",3.1652201257861634,"Japan Post Capital, Globis Capital Partners, Atomico"
570,Spring Health,2021-09-16,Health,New York,North America,2016,$296M,2.0,"Rethink Impact, Work-Bench, RRE Ventures",3.1652201257861634,"Rethink Impact, Work-Bench, RRE Ventures"
571,StarkWare,2021-11-17,Cybersecurity,Netanya,Asia,2018,$161M,3.397312859884837,"Sequoia Capital, Paradigm, Pantera Capital",8.0,"Sequoia Capital, Paradigm, Pantera Capital"
572,SWORD Health,2021-11-22,Health,New York,North America,2015,$296M,2.0,"Khosla Ventures, Green Innovations, Founders Fund",2.0,"Khosla Ventures, Green Innovations, Founders Fund"
573,Tier,2021-10-25,Travel,Berlin,Europe,2018,$587M,2.0,"Northzone Ventures, White Star Capital, Novator Partners",2.0,"Northzone Ventures, White Star Capital, Novator Partners"
574,Trendy Group International,2012-02-13,Consumer & retail,Kowloon,Asia,1999,$200M,2.0,L Capital Partners,2.0,L Capital Partners
575,Unqork,2020-10-06,Fintech,New York,North America,2017,$365M,3.397312859884837,"Blackrock, capitalG, World Lab Innovation",2.0,"Blackrock, capitalG, World Lab Innovation"
576,VerbIT,2021-06-08,Artificial intelligence,New York,North America,2016,$432M,2.0,"ClalTech, Vertex Ventures, Oryzn Capital",3.1652201257861634,"ClalTech, Vertex Ventures, Oryzn Capital"
577,Virta Health,2020-12-02,Health,San Francisco,North America,2015,$373M,3.397312859884837,"Caffeinated Capital, Obvious Ventures, Venrock",2.0,"Caffeinated Capital, Obvious Ventures, Venrock"
578,Xinchao Media,2018-04-09,Internet software & services,Chengdu,Asia,2007,$768M,3.397312859884837,"JD.com, Baidu, Vision Plus Capital",2.0,"JD.com, Baidu, Vision Plus Capital"
579,Xingyun Group,2020-09-24,E-commerce & direct-to-consumer,Shenzhen,Asia,2015,$950M,3.397312859884837,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings",2.0,"Matrix Partners China, Eastern Bell Capital, Hongtai Capital Holdings"
580,XtalPi,2021-08-11,Artificial intelligence,Shenzhen,Asia,2014,$786M,2.0,"Tencent Holdings, 5Y Capital, Sequoia Capital China",2.0,"Tencent Holdings, 5Y Capital, Sequoia Capital China"
581,Zilch,2021-11-10,Fintech,London,Europe,2018,$339M,3.397312859884837,"Gauss Ventures, Ventura Capital, dmg ventures",2.0,"Gauss Ventures, Ventura Capital, dmg ventures"
582,56PINGTAI,2021-01-25,"Supply chain, logistics, & delivery",Shanghai,Asia,2013,$188M,3.397312859884837,"QF Capital, QC Capital, Unicom Innovation Venture Capital",1.08,"QF Capital, QC Capital, Unicom Innovation Venture Capital"
583,Alzheon,2020-09-30,Health,Framingham,North America,2013,$94M,3.397312859884837,"ARCH Venture Partners, Ally Bridge Group",1.31,"ARCH Venture Partners, Ally Bridge Group"
584,Aprogen,2019-05-31,Health,Seongnam-Si,Asia,2000,$62M,3.397312859884837,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical",1.04,"Lindeman Asia Investment, Nichi-Iko Pharmaceutical"
585,Axtria,2021-05-13,Data management & analytics,Berkeley Heights,North America,2009,$206M,1.0,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India",1.0,"Helion Venture Partners, Bain Capital Tech Opportunities, Sequoia Capital India"
586,Cell C,2017-08-07,Mobile & telecommunications,Midrand,Africa,2000,$547M,1.0,"Blue Label Telecoms, Net1 UEPS Technologies",3.1652201257861634,"Blue Label Telecoms, Net1 UEPS Technologies"
587,China Cloud,2018-06-11,Hardware,Wuxi,Asia,2010,$523M,1.0,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management",1.0,"V Star Capital, GF Xinde Investment Management Co., Haitong Leading Capital Management"
588,CredAvenue,2022-03-07,FinTech,Chennai,Asia,2017,$227M,1.0,"Insight Partners, B Capital Group, Lightspeed Venture Partners",1.3,"Insight Partners, B Capital Group, Lightspeed Venture Partners"
589,DeepBlue Technology,2018-04-16,Artificial intelligence,Shanghai,Asia,2014,$79M,1.0,"DESUN Capital, Yunfeng Capital, Meridian Capital",3.1652201257861634,"DESUN Capital, Yunfeng Capital, Meridian Capital"
590,dMed Biopharmaceutical,2021-07-12,Health,Shanghai,Asia,2016,$214M,3.397312859884837,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China",1.0,"Qiming Venture Partners, Vivo Capital, Sequoia Capital China"
591,Einride,2021-12-31,Auto & transportation,Stockholm,Europe,2016,$151M,3.397312859884837,"Temasek, BUILD Capital Partners, Northzone Ventures",1.44,"Temasek,	BUILD Capital Partners, Northzone Ventures"
592,EQRx,2021-01-11,Health,Cambridge,North America,2020,$700M,1.0,"Nextech Invest, Casdin Capital, Google Ventures",1.23,"Nextech Invest, Casdin Capital, Google Ventures"
593,Everly Health,2020-12-03,E-commerce & direct-to-consumer,Austin,North America,2015,$231M,3.397312859884837,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures",1.3,"Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
594,Fair,2018-12-20,Auto & transportation,Santa Monica,North America,2016,$2B,3.397312859884837,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",1.2,"CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
595,Flipboard,2015-07-22,Internet software & services,Palo Alto,North America,2010,$211M,3.397312859884837,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners",1.32,"Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
596,Globality,2019-01-22,Artificial intelligence,Menlo Park,North America,2015,$310M,1.0,SoftBank Group,1.0,SoftBank Group
597,Hosjoy,2018-10-18,E-commerce & direct-to-consumer,Nanjing,Asia,2009,$139M,3.397312859884837,"U.S.-China Green Fund, Founder H Fund, Richland Equities",1.0,"U.S.-China Green Fund, Founder H Fund, Richland Equities"
598,Huisuanzhang,2021-05-24,Fintech,Beijing,Asia,2015,$227M,3.397312859884837,"IDG Capital, Gaocheng Capital, Chuanrong Capital",1.28,"IDG Capital, Gaocheng Capital, Chuanrong Capital"
599,HuJiang,2015-10-29,Edtech,Shanghai,Asia,2001,$223M,1.0,"China Minsheng Investment, Baidu, Wanxin Media",3.1652201257861634,"China Minsheng Investment, Baidu, Wanxin Media"
600,Hyperchain,2021-04-11,Fintech,Hangzhou,Asia,2016,$249M,3.397312859884837,"Yinhong Equity Investment Fund, E Fund, Ideal International",1.0,"Yinhong Equity Investment Fund, E Fund, Ideal International"
601,iTutorGroup,2015-11-18,Edtech,Shanghai,Asia,1998,$315M,1.0,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",3.1652201257861634,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital"
602,JimuBox,2015-04-21,Fintech,Beijing,Asia,2013,$131M,1.0,"Matrix Partners China, Ventech China, Shunwei Capital Partners",1.0,"Matrix Partners China, Ventech China, Shunwei Capital Partners"
603,Juma Peisong,2018-11-26,"Supply chain, logistics, & delivery",Chengdu,Asia,2011,$281M,1.0,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital",1.45,"Ding Xiang Capital, New Hope Fund, Sino-Ocean Capital"
604,Justworks,2020-01-28,Internet software & services,New York,North America,2012,$143M,1.0,"Index Ventures, Thrive Capital, Bain Capital Ventures",3.1652201257861634,"Index Ventures, Thrive Capital, Bain Capital Ventures"
605,Keenon Robotics,2021-09-15,"Supply chain, logistics, & delivery",Shanghai,Asia,2010,$229M,3.397312859884837,"Yunqi Partners, SoftBank Group, iVision Ventures",1.0,"Yunqi Partners, SoftBank Group, iVision Ventures"
606,LifeMiles,2015-07-13,Other,Bogota,South America,2011,$344M,3.397312859884837,Advent International,1.15,Advent International
607,LinkSure Network,2015-01-01,Mobile & telecommunications,Shanghai,Asia,2013,$52M,3.397312859884837,Haitong Kaiyuan Investment,1.0,
608,MobiKwik,2021-10-13,Fintech,Gurugram,Asia,2009,$249M,1.0,"Sequoia Capital India, The Times Group, GMO VenturePartners",3.1652201257861634,"Sequoia Capital India, The Times Group, GMO VenturePartners"
609,Modernizing Medicine,2017-05-10,Health,Boca Raton,North America,2010,$394M,1.0,"Warburg Pincus, Summit Partners, Sands Capital",3.1652201257861634,"Warburg Pincus, Summit Partners, Sands Capital"
610,OVH,2016-08-15,Other,Roubaix,Europe,1999,$1B,1.0,"KKR, TowerBrook Capital Partners",1.1,"KKR, TowerBrook Capital Partners"
611,Phenom People,2021-04-07,Internet software & services,Ambler,North America,2011,$163M,3.397312859884837,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures",1.4,"Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
612,Pipa Coding,2021-03-25,Edtech,Beijing,Asia,2017,$268M,3.397312859884837,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management",1.2,"Source Code Capital, XVC Venture Capital, Hillhouse Capital Management"
613,Qingting FM,2021-06-02,Internet software & services,Shanghai,Asia,2011,$164M,1.0,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group",3.1652201257861634,"China Culture Industrial Investment Fund, We Capital, China Minsheng Investment Group"
614,Rad Power Bikes,2021-10-28,Auto & transportation,Seattle,North America,2007,$329M,3.397312859884837,"Durable Capital Partners, Cercano Management, T. Rowe Price",1.4,"Durable Capital Partners, Cercano Management, T. Rowe Price"
615,Shukun Technology,2021-08-16,Artificial Intelligence,Beijing,Asia,2017,$211M,1.0,"Marathon Venture Partners, Huagai Capital, China Creation Ventures",1.46,"Marathon Venture Partners, Huagai Capital, China Creation Ventures"
616,Shulan Health,2021-03-01,Health,Hangzhou,Asia,2015,$43M,3.397312859884837,Qiming Venture Partners,1.24,Qiming Venture Partners
617,SITECH DEV,2019-05-16,Other,Guiyang,Asia,2017,Unknown,1.0,China Prosperity Capital,3.1652201257861634,China Prosperity Capital
618,Snapdeal,2014-05-21,E-commerce & direct-to-consumer,New Delhi,Asia,2008,$2B,1.0,"SoftBankGroup, Blackrock, Alibaba Group",1.0,"SoftBankGroup, Blackrock, Alibaba Group"
619,SumUp,2019-07-16,FinTech,London,Europe,2011,$1B,3.397312859884837,"American Express Ventures, Goldman Sachs, Bain Capital Credit",8.5,"American Express Ventures, Goldman Sachs, Bain Capital Credit"
620,TalkingData,2021-01-06,Mobile & telecommunications,Beijing,Asia,2013,$310M,3.397312859884837,"N5 Capital, CR Capital Mgmt, JD Digits",1.3,"N5 Capital, CR Capital Mgmt, JD Digits"
621,TUNGEE,2021-12-15,Artificial Intelligence,Guangzhou,Asia,2016,$171M,1.0,"UNITY VENTURES, Qiming Venture Partners, GGV Capital",3.1652201257861634,"UNITY VENTURES, Qiming Venture Partners, GGV Capital"
622,UISEE Technology,2021-01-25,"Supply chain, logistics, & delivery",Beijing,Asia,2016,$154M,3.397312859884837,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures",1.08,"Shenzhen Capital Group, Robert Bosch Venture Capital, SeptWolves Ventures"
623,Valgen Medtech,2021-05-06,Health,Hangzhou,Asia,2015,$188M,3.397312859884837,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners",1.43,"Sequoia Capital China, China Life Investment Holding Company, Qiming Venture Partners"
624,Vectra Networks,2021-04-29,Artificial intelligence,San Jose,North America,2011,$352M,3.397312859884837,"IA Ventures, Khosla Ventures, AME Cloud Ventures",1.2,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
625,Venafi,2020-12-10,Cybersecurity,Salt Lake City,North America,2000,$174M,1.0,"Pelion Venture Partners, Foundation Capital, Thoma Bravo",1.15,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
626,Wacai,2018-07-18,Mobile & telecommunications,Hangzhou,Asia,2009,$369M,1.0,"Qiming Venture Partners, China Broadband Capital, CDH Investments",3.1652201257861634,"Qiming Venture Partners, China Broadband Capital, CDH Investments"
627,WeBull,2021-02-18,Fintech,Changsha,Asia,2016,$230M,1.0,"Bojiang Capital, Hongdao Capital, Mobai Capital",1.0,"Bojiang Capital, Hongdao Capital, Mobai Capital"
628,WTOIP,2018-04-08,Internet software & services,Guangzhou,Asia,2013,$307M,3.397312859884837,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital",1.27,"Dark Horse Technology Group, Hopu Investment Management, Kefa Capital"
629,Xiaobing,2021-07-12,Fintech,Beijing,Asia,2020,Unknown,1.0,"NetEase Capital, Northern Light Venture Capital, Microsoft",3.1652201257861634,"NetEase Capital, Northern Light Venture Capital, Microsoft"
630,Xiaoe Tech,2021-06-15,Internet software & services,Shenzhen,Asia,2015,$149M,1.0,"GGV Capital, Hillhouse Capital Management, IDG Capital",3.1652201257861634,"GGV Capital, Hillhouse Capital Management, IDG Capital"
631,Yiguo,2016-11-09,"Supply chain, logistics, & delivery",Shanghai,Asia,2005,$800M,1.0,"Alibaba Group, KKR, Goldman Sachs",1.2,"Alibaba Group, KKR, Goldman Sachs"
632,Yimidida,2019-01-14,"Supply chain, logistics, & delivery",Shanghai,Asia,2015,$554M,3.397312859884837,"Source Code Capital, Global Logistic Properties, K2VC",1.17,"Source Code Capital, Global Logistic Properties, K2VC"
633,Yipin Shengxian,2019-03-11,E-commerce & direct-to-consumer,Hefei,Asia,2017,$658M,1.0,"Eastern Bell Capital, Capital Today, Longzhu Capital",3.1652201257861634,"Eastern Bell Capital, Capital Today, Longzhu Capital"
634,Ynsect,2019-02-21,Other,Evry,Europe,2011,$393M,1.0,"Astanor Ventures, Upfront Ventures, IDInvest Partners",3.1652201257861634,"Astanor Ventures, Upfront Ventures, IDInvest Partners"
635,Hello TransTech,2018-06-01,Auto & transportation,Shanghai,Asia,2016,$2B,3.397312859884837,"Ant Financial Services Group, GGV Capital",5.0,"Ant Financial Services Group, GGV Capital"
636,Miaoshou Doctor,2019-06-27,E-commerce & direct-to-consumer,Beijing,Asia,2015,$947M,3.397312859884837,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",4.25,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings"
637,ECARX,2020-10-26,Auto & transportation,Wuhan,Asia,2016,$394M,3.397312859884837,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund",3.31,"Geely, SIG Asia Investments, China State Capital Venture Capital Fund"
638,Eat Just,2017-11-30,Consumer & retail,San Francisco,North America,2011,$440M,3.397312859884837,"Khosla Ventures, Horizons Ventures, Founders Fund",2.59,"Khosla Ventures, Horizons Ventures, Founders Fund"
639,Trumid,2020-07-15,Fintech,New York,North America,2014,$660M,3.397312859884837,"T. Rowe Price, Dragoneer Investment Group, BlackRock",2.4,"T. Rowe Price, Dragoneer Investment Group, BlackRock"
640,Qualia,2020-12-21,Fintech,San Francisco,North America,2015,$160M,1.0,"8VC, Menlo Ventures, Tiger Global Management",2.17,"8VC, Menlo Ventures, Tiger Global Management"
641,Beisen,2021-05-11,Internet software & services,Beijing,Asia,2002,$388M,1.0,"Matrix Partners China, Sequoia Capital China, Genesis Capital",3.1652201257861634,"Matrix Partners China, Sequoia Capital China, Genesis Capital"
642,Earnix,2021-02-21,Fintech,Giv'atayim,Asia,2001,$98M,1.0,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners",2.0,"Jerusalem Venture Partners, Israel Growth Partners, Insight Partners"
643,Kujiale,2019-10-25,Internet software & services,Hangzhou,Asia,2011,$235M,3.397312859884837,"GGV Capital, IDG Capital, Linear Venture",2.0,"GGV Capital, IDG Capital, Linear Venture"
644,Orca Security,2021-03-23,Cybersecurity,Portland,North America,2019,$632M,1.0,"YL Ventures, Redpoint Ventures, GGV Capital",1.8,"YL Ventures, Redpoint Ventures, GGV Capital"
645,Apus Group,2015-01-16,Mobile & telecommunications,Beijing,Asia,2014,$116M,1.0,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1.73,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital"
646,Forte Labs,2021-05-12,Fintech,San Francisco,North America,2018,$910M,3.397312859884837,"Iris Capital, Accel, Elaia Partners",1.73,"Iris Capital, Accel, Elaia Partners"
647,CureFit,2021-11-10,Health,Bengaluru,Asia,2016,$665M,1.0,"Chiratae Ventures, Accel, Kalaari Capital",3.1652201257861634,"Chiratae Ventures, Accel, Kalaari Capital"
648,DT Dream,2017-06-08,Data management & analytics,Hangzhou,Asia,2015,$267M,1.0,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",1.5,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital"
649,JOLLY Information Technology,2018-05-29,E-commerce & direct-to-consumer,Hangzhou,Asia,2008,$96M,3.397312859884837,"Legend Capital, CDH Investments, Sequoia Capital China",1.5,"Legend Capital, CDH Investments, Sequoia Capital China"
650,K Health,2021-01-19,Health,New York,North America,2016,$271M,1.0,"Max Ventures, Mangrove Capital Partners, 14W",3.1652201257861634,"Max Ventures, Mangrove Capital Partners, 14W"
